#this line is a comment line
# 50-200 students
#Name;Neptun;Supervisor;Exam course; Course code
BMEVIIIAC01;3D grafikus rendszerek;Szécsi László
BMEVIAUA369;Adatvezérelt alkalmazások fejlesztése;Dudás Ákos;Gincsai Gábor;Asztalos Márk;Albert István;Cserkúti Péter;Benedek Zoltán
BMEVIAUAC01;Adatvezérelt rendszerek;Dudás Ákos;Benedek Zoltán;Imre Gábor
BMEVIAUAC04;Alkalmazásfejlesztési környezetek;Csorba Kristóf;Bányász Gábor;Filep Szabolcs
BMEVIMIAC01;Informatikai rendszertervezés;Micskei Zoltán Imre
BMEVIMIAC04;Integrációs és ellenőrzési technikák;Strausz György
BMEVIMIA370;Intelligens rendszerfelügyelet;Micskei Zoltán Imre
BMEVIAUAC02;Kliensoldali technológiák;Kővári Bence András
BMEVIMIA357;Kooperatív és tanuló rendszerek;Horváth Gábor
BMEVIHIA317;Mobil infokommunikációs rendszerek;Fazekas Péter
BMEVIIIAC00;Objektumorientált szoftvertervezés;Goldschmidt Balázs
BMEVIIIA371;Objektumorientált szoftvertervezés;Goldschmidt Balázs
